Redacao,Nota
"A meu ver, a lei tem uma proposta bem útil. A sala de aula não é um lugar para mostrar seu celular de última geração com câmera fotográfica. Estamos na escola para aprender, e devíamos aprender lá também que o toque do celular no meio da aula não é apenas uma falta de respeito ao professor, mas também com os outros alunos que realmente querem aprender. Claro, o celular é importante em um momento de emergência, mas acho que é para isso que serve o telefone da escola. Agora, acho que os celulares deviam ser proibidos tanto para os alunos, quanto para os professores e outros funcionários. Um aluno que vê o professor utilizando vai se sentir injustiçado, claro, se o professor pode, porque ele não?
Mesmo assim, ainda me pergunto se os colégios irão realmente adotar essa lei. É muito fácil falar, difícil é agir, principalmente quando se trata de adolescentes (Você tem esse tipo de problemas com alunos de sete anos?). O celular do aluno toca no meio da aula, o professor para a explicação, o aluno pede desculpas, o professor volta à aula. Simples. O aluno não tem o celular confiscado, não leva uma advertência, não perde nota. Assim é fácil. Essa lei também devia propor uma punição.  Não algo radical, claro. Mas algo que faça o aluno pensar duas vezes antes de levar o aparelho para a escola. Enquanto isso, só me resta esperar que os alunos tenham um pouco mais de consciência. Vamos combinar que ser atrapalhado por um barulhinho irritante de telefone no meio da explicação que você mais precisava não é nada agradável...",8.0
"A mídia e a internet são grandes aliadas na propagação de informações devida à agilidade , porém se o conteúdo a ser transmitido for falso, elas se tornam armas nas mãos de mentirosos. As pessoas que não possuem senso crítico são muito influenciadas por qualquer tipo de notícia.
Com o avanço da tecnologia as pessoas têm acesso muito rápido a diversos acontecimentos mundiais através de um clique. Muitos problemas aparecem em decorrência de uma informação distorcida ou mentirosa. O Brasil passa por um momento muito turbulento na política e muitas inverdades são divulgadas com a intenção de destruir a imagem de um político. Pode-se citar o que aconteceu com a ex presidente Dilma Rousseff, que teve sua imagem arruinada pela mídia e internet, como o seu governo já estava enfrentando sérios problemas de gestão, as falsas notícias que eram divulgadas, contribuíram para a sua saída da presidência.
Além disso, a maioria das pessoas não possuem capacidade de analisar e questionar os fatos apresentados, elas acreditam em tudo que leem. Os opositores aproveitam dessa condição e começam a divulgar falsas informações. Um exemplo disso foi o que ocorreu com a Deputada Maria do Rosário, que recebeu diversas ofensas porque foi divulgado uma falsa notícia na internet em que ela defendia os bandidos e era contra a polícia.  Apesar de já ter desmentido diversas vezes, seu nome ainda é citado por muitos, como a deputada que defende bandidos, tudo isso porque as pessoas não buscam se informar melhor, não procuram outras fontes e se deixam levar pela primeira notícia que leem.
Portanto é preciso que os veículos que prestam informações apurem melhor antes de publicar uma notícia, principalmente as redes sociais, onde muitos acham que podem postar o que quiserem, mesmo que não seja verdade. É preciso que as pessoas questionem o conteúdo da informação e busquem por outros textos que relatam o mesmo assunto, para que assim saibam diferenciar o que é verdade e o que é mentira.",3.0
"A mídia e o marketing vêm evoluindo cada vez mais, e as formas de se passar informações sobre novas marcas e produtos está cada vez mais fácil. A variedade de produtos interessantes e com embalagens chamativas é aliado ao consumismo exacerbado, muito presente na vida das pessoas nos últimos anos. Hoje em dia, para algumas pessoas, comprar é sinônimo de felicidade e satisfação, principalmente se essas compras forem algo com uma marca renomada no mercado. Outro aliado a esse consumismo é o crédito fácil que podemos obter em bancos ou lojas.
Na hora de fazer as compras, o senso comum acompanha muita gente, que são influenciadas por propagandas em rádios, televisões, internet e vendedores.  Muitos de nós somos direcionados a pensar que, quando compramos objetos com uma marca renomada no mercado, ganhamos certo poder. Isso pode ser visto, claramente, em roupas e automóveis, o que acaba sendo outra prova de que nós adotamos, muitas vezes, o senso comum na hora da compra.
Outro aliado a esse consumismo exacerbado é o crédito fácil. Para realizar um sonho de consumo, muitas vezes apelamos para empréstimos em bancos ou lojas, pensando ser a forma mais fácil de adquirir dinheiro e sendo assim,  realizar o tão almejado sonho, mas a longo prazo, essa não é nem de longe a forma mais fácil. Esse acaba sendo um dos motivos de muitas pessoas estarem hoje endividadas, devido ao alto juro cobrado em cima desses empréstimos.
Para não sermos vítimas desse consumismo, antes de comprar qualquer item, temos que nos perguntar: ?eu quero ou eu preciso disso??. Temos também que desenvolver o senso crítico em nós mesmo e nas futuras gerações, para não sermos facilmente influenciados por propagandas e pessoas. Se seguirmos as duas dicas acima, podemos nos tornar consumidores conscientes.",7.5
"A mitologia Grega conta á história de Narciso Narciso, um belo rapaz que despertava o amor das jovens gregas e ninfas, entretanto ele as desprezava-as,  tratando-as com indiferença. Narciso se depara a um lago e, ao ver sua imagem refletida na água, se joga para unir-se aquele por quem se apaixona, ele prórpio .
Esse amor doentio da origem ao transtorno de personalidade narcisista, a pessoa que sofre dessa condição se acha de suprema importância e tem a necessidade de se sentir superior a tudo e a todos a sua volta. A pessoas que a rodeiam nada mais são do que espelhos para refletir sua própria imagem, no momento em que são confrontadas elas desenvolvem a auto defesa que conciste em exautar a sua própria imagem por medo de se sentir inferior.
É necessario uma triologia para dar forma a prática narcisista que conciste em imagem, indentificação e investimento. A imagem tem base na apresentação dela mesma perante aos outros. Indentificação, tanto uma pessoa que se acha extraordinária e uma que se sente inferior a tudo, ambas contemplam uma prática narcisista, pois tudo o que ela faz é viver diante de si próprio.  O ultimo pilar é o investimento o praticante investi toda sua energia para manter essa imagem e nada mais importa ele passa a se comportar como um ""cavalo com viseira"" que não consegue enxergar nada a sua volta.
Não sabe-se ainda um medicamento usado para o transtorno, porém existe",3.5
"A moral e a ética de uma sociedade respondendo as preferências de um indivíduo
Abstrata, a justiça refere-se a uma interação social equilibrada, razoável e imparcial. Porém, assim como bem e mal, sua concepção é construção social junto com a moral e a ética do indivíduo. Dessa forma, o oposto da justiça pode ser discutida , de tal forma que, sofrer ou praticar uma injustiça podem adquirir um mesmo peso.
Quando um indivíduo nasce, seus pensamentos e ações fazem parte de seus instintos naturais e suas vontades básicas, diante disso, ele não possui condições de uma autoavaliação ou julgamento. Com o passar de seu crescimento, ele vai adquirindo valores baseados na moral e na ética da sociedade na qual se encontra.
Ademais disso, após o crescimento dessa pessoa, ela fica submersa a ações de outros, ficando vulnerável a uma injustiça ou praticando a injustiça, entretanto,  a justiça a qual um determinado grupo que julgará essas ações, dependerá da moral e a ética construídas de acordo com a sociedade, e o peso de a ter cometido ou sofrido, dependerá de seus valores dentro do seu contexto social.
Portanto, não existe uma preferência entre praticar ou sofrer a injustiça, porém ela será escolhida de acordo com a ética do indivíduo.",3.5
"A morte do principal terrorista do mundo trouxe uma grande repercussão na mídia mundial e comemorações em alguns países, sobretudo nos Estados Unidos. Porém, ao mesmo tempo, surgiu um dilema: matar alguém e comemorar a sua morte é um ato de justiça? Ou de vingança?
Para os norte-americanos - principalmente - a execução de Bin Laden propiciou paz e segurança, já que a maior rede terrorista do mundo foi desestruturada.  Essa operação foi amparada pelas leis americanas por fazer, segundo as mesmas, justiça aos parentes das vítimas do 11 de setembro. Mas tal justiça é questionável.
Conforme a Constituição Brasileira,  a morte de Osama pelo governo americano poderia ser considerada vingativa; logo, sujeita à desaprovação, uma vez que valores como liberdade, solidariedade e democracia forma desrespeitados. Outro fator que desaprovaria a atitude dos EUA é que, normalmente, vingança gera vingança, e um exemplo foi o ataque feito pelo Talibã contra o Paquistão que levou à morte quase 100 pessoas. A milícia confirmou que o ataque foi o primeiro ato de vingança por Bin Laden.
Para que a humanidade não se autodestrua é preciso que os seres humanos pratiquem a justiça e os outros valores universais e deixem a vingança apenas para o universo cinematográfico.",5.0
"A muito tempo vêem sendo discutido no senado a concessão da meia entrada para jovens de baixa renda, estudantes, portadores de necessidades especial e idosos.
Com isso é levantada uma grande questão: A meia-entrada será realmente um beneficio para a sociedade? As opiniões em relação a este assunto deixa uma grande dúvida na opinião do povo brasileiro. Pois se em um evento 100% da população tiver carteirinha, a organização vai obter somente 50% do lucro, onde deixa muitos atores e atrizes contra essa lei de meia-entrada.
Contudo, não pode-se deixar de lado o fato que com os estudantes pagando mais barato estimulará a ida desses jovens a eventos culturais, assim reforçando a cultura nesse nova geração, além de absorverem mais conhecimento e aprendizado, que de cerda forma será um investimento na formação desses jovens, e de cara prestar um grande reconhecimento aos mais velhos que já trabalharam e lutaram tanto na vida.
Enfim, que os estudantes não desistam e vá atrás de seus direitos já conquistados, pois sem dúvida a meia-entrada para esses jovens ajudará no melhor desenvolvimentos profissional e social, além de valorizar cada vez mais a cultura brasileira.",3.0
"A muitos e muitos séculos atrás por causa da indiferença dos povos, raças, questões religiosas, classe social, políticas entre outros, até mesmo no século AC. povos de raças diferentes não se casavam e nem religiões se misturavam negros eram escravos, assim observado que a intolerância tem vindo há muito tempo atrás , e assim dando cumprimento a nossa atualidade. Hoje observamos que a liberdade expressão e escolha têm gerado muita polêmica no meio da sociedade, e a mídia por muitas das vezes tem ajudado a combater este tipo de preconceito, assim incentivando a população a aceitação e a sua liberdade de escolha, como religiosa, política, sexual entre outro,
A intolerância de qualquer espécie pode gerar discriminação e humilhação e assim até a morte, muito em nosso pais tem perdido a vida por causa da descriminação que é gerada pela intolerância, na escola, no meio familiar no trabalho e principalmente na rua.
Hoje existem projetos e decretos de lei contra a descriminação assim dando mais segurança a população que sofre algum tipo de intolerância seja ela qual for, Para que isso mude devemos fazer a nossa própria parte assim dando ao fim a intolerância e incentivar as pessoas ao fim deste preconceito, e mostrando a igualdade a todos.
E hoje podemos combater este mal começando pelas escolas, começando ensinar a criança da educação infantil, com a ajuda de pais e professores e diretores ate aos nossos jovens e adolescentes a igualdade a todos, pois a escola é a primeira porta para um novo mundo.",0.0
"A mulher conseguiu um papel muito importante na sociedade, depois de muitas lutas e manifestações, onde elas conseguiram o direito de  votar; Que teve de lutar para chegar á onde está. Cada vez mas vem ocupando trabalhos que antigamente, segundo os homens, só eles podiam ocupar pelo fato da força e alguns por machismo. Se hoje as mulheres estão mais independentes são porque não ligam tanto para a força e sim para a inteligencia que faz com que ela passe a conquistar novas fronteiras, novos horizontes.  Hoje podemos ver que as coisas estão mudando algumas pessoas nunca chegaram a pensar que o Brasil poderia ter uma presidente, ainda mais sendo mulher e superando todos os preconceitos e mostrando que mulher também tem coração que não foi feita para ficar só fogão, lavando, passando, cuidando da família que a pesar de ser sensível pode chegar muito mais longe do que todos pensam. Muitos homens podem ate ficar com um certo receio pelo fato das mulheres exercer cargos que só eles conseguiam, mas o mundo esta mudando podemos perceber pelas eleições no qual Marina Silva também teve grande numero de aprovação, não somente pelas mulheres mais por muitos homens que concordam  com a evolução da mulher.",2.5
"A mulher do século XXI não se resume apenas em casa, comida e roupa lavada. Hoje a mulher tem total desprendimento e liberdade para introduzir-se no mercado de trabalho e obter salários iguais ou maiores que os dos homens. A mulher chega a ser mãe, pai, dona de casa e, hoje, o mais importante: uma profissional qualificada.
Ser mulher hoje não é fácil, além de cuidar de uma vida social é necessário cuidar da saúde e da beleza. Conciliar casa, trabalho, físico e psicológico. Além do mais, a mulher ainda é alvo de grande discriminação por aqueles que ainda acreditam que “lugar de mulher é no fogão” e por isso enfrenta o grande desafio de mostrar que apesar de frágil é ainda forte, ousada e firme na tomada de decisões.
Hoje, o que conta não é o sexo, e talvez não mais a religião, a cor e a raça. Hoje o que realmente está em foco é a determinação do profissional. O mercado de trabalho exige não só uma boa formação, mas sim audácia e discernimento. E isso é o que não falta em uma mulher, que durante anos vem conquistando seu espaço na sociedade e fazendo valer o lugar que vem sendo lhe depositado.
A prova de que o sexo feminino adquiriu liberdade, é que hoje temos uma mulher como presidente dos 27 estados federativos do nosso país, possuindo então o cargo mais importante de uma nação. Sua participação em nossa política fará com que o preconceito existente se quebre, e a esperança e a força farão com que nosso país seja economicamente mais firme e a sociedade mais justa.
Dessa forma, resta aos homens respeitar e se habituar ao novo rumo que este milênio nos levou. Um caminho de mudanças e superações, juntamente com atitude e ousadia. Mulher é guerreira, é super heroína, é a troca da guerra pela paz, luta e defende seus ideais. Dar lugar a ela é superar preconceitos, é enxergar que mulher não é só um corpo bonito, mas sim que possuem um grau de intelecto necessário para o crescimento da humanidade.",4.0
"A mulher, até recentemente, possuía pouca participação de destaque no cenário nacional. Normalmente envolvida nas atividades do lar e na criação dos filhos, a presença feminina, na maioria das profissões, era rara ou de valor secundário, inclusive na questão do ganho salarial. No século passado, os nomes mais famosos do universo feminino estavam concentrados na área artística e cultural, tais como a música, o teatro ou a escrita. Certamente, a nomeação da ministra Zélia Cardoso de Melo para chefiar a área econômica do Brasil, no início da década de 90, foi uma iniciativa arrojada e praticamente inédita na história da política brasileira.
O cenário da participação feminina no cotidiano brasileiro atual é bem diferente. Não existem mais diferenças entre as capacidades e possibilidades de ambos os sexos. Muito pelo contrário, e fruto da iniciativa da mulher brasileira de buscar a própria qualificação profissional aliada às políticas governamentais exclusivas sobre o tema, observa-se hoje que não existem mais barreiras para o seu progresso individual.
A recente conquista, pelo voto popular, da Presidência da República por Dilma Rousseff significa a consolidação do amadurecimento da sociedade brasileira no que tange a igualdade de todos perante a lei, conforme previsto na Constituição brasileira. Além disso, a composição do executivo recém-eleito com várias mulheres na chefia de ministérios reforça a tese do amadurecimento da sociedade nacional.
Da mesma forma, no cenário internacional, constata-se a presença da mulher brasileira com projeção e importância. A designação feminina para ocupar as representações nacionais no exterior, tais como embaixadas, consulados e a destacada vaga de representante do País na Organização das Nações Unidas (ONU)  atestam a importância desse fato no crédito ao desenvolvimento atingido pelo Brasil nos últimos anos.
Portanto, observa-se, no despertar de mais uma nova década, que a situação social da mulher na sociedade brasileira atual é consideravelmente relevante e imprescindível. Mais ativa em áreas específicas, tais como a política, economia, educação superior e na diplomacia, a mulher brasileira se firma na atualidade como clara demonstração do amadurecimento da democracia brasileira, fundamentada na igualdade de oportunidades e na plena possibilidade de ascensão social.",8.0
"A necessidade de mudança, em relação a educação brasileira, é uma questão presente nos anseios da sociedade. O garantimento do ingresso de jovens no ensino superior acarretaria num consequente alívio. Este surgiria para que a desigualdade social, em meio a expansão do conhecimento adquirido, diminuísse.
Os diplomas conquistados trazem consigo a oportunidade de mudanças, estas não mais esperançosas, mas reais e cotidianas. A independência também é uma realização, assim os novos profissionais, motivados, conseguem desempenhar melhor suas funções estabelecidas. É inegável que o estudo é o sonhado caminho para se conseguir a realização profissional, pois os méritos próprios são encaminhados para uma realidade futura praticamente certa. A presença da sorte, neste caso, torna-se quase dispensável.
Só que a almejada felicidade é uma sensação inconstante, muitas vezes algumas decisões corriqueiras aparentemente não são necessárias. Mesmo que o ensino superior mostre-se como um excelente meio para a estabilidade profissional e financeira, o indispensável para mudar a condição social da maioria dos jovens brasileiros não é a opção de muitos. O risco de não o tê-lo pode ser compensado com o reconhecimento e sucesso nos planos de alguns. Atores sociais que conquistaram suas idealizações, a exemplo do ex-presidente Luiz Inácio Lula da Silva, mostram a possibilidade de outras opções.
No entanto, para se ter uma sociedade minimamente igualitária, é necessária que escolhas pessoais consigam suas realizações.  O direito a educação tornando-se viável a todos, de forma satisfatória, certamente faria com que essas escolhas fossem melhores tomadas.  De forma progressiva, trariam benefícios notórios ao desenvolvimento do país.",9.0
"A nossa sociedade é hipócrita quanto a questão dos menores. Onde um Lei do Estatuto do menor perconiza que o menor de 16 anos que é abondanado desde muito pequeno pelos pais e pela sociedade, que não está conseguindo tomar conta deste menor e nem pouco as instituições.  E nesta situação os nossos menores vão cometendo crimes e sendo usado pelos marginais. O chamado menor de 16 anos a 18 anos podem através do seu voto escolher os nossos Políticos que iram governar o País, os Estados e Municípios, porque esses menores não podem ser responsáveis pelos crimes que cometem e ter uma pena maior? A estrutura familiar em nosso pais também está passando por uma desvalorização muito profunda e é através desta situação que em muito casos vemos jovens cometerem tantas atrocidades. Onde as nossas crianças já nascem no desamparo em que as familias não tem expectativas positivas que exemplo bom dará ao seus filhos?  A sociedade tem que rever e tomar conta de nossas crianças para mais tarde não venham a passar por este vendaval a qual estamos pressenciando a todo momento no noticário de rádio, televisão, internet e jornais.",2.0
"A obesidade é um dos grandes problemas de hoje em dia, e precisamos ficar conscientes dos males que ela nos traz. O governo deveria criar alguma lei para controlar as propagandas de Fast-Food?
O Ministério da Saúde promove campanhas para a sociedade, com a finalidade de informar os altos índices de gorduras, açúcar, e sal. E com isso houve propostas de limitações de comerciais, com as informações dessas “bombas calóricas”.
A obesidade nos Estados Unidos tem um índice mais alto, por causa das redes de Fast-Food localizada nos centros das cidades, e a vista desses alimentos gordurosos chama a atenção da população para uma vida menos saudável, chegando a causar até o sedentarismo.
Sanduíches, Batata Frita, Milk-Shake é um dos grandes “amigos” das crianças, mas um grande malefício para o organismo, provocando a obesidade, diabete, alto teor de insulina, chegando a provocar a morte. E os pais vivem se preocupando com os filhos, e vejam como solução a proibição desses alimentos ou a regulação, e incrementar sucos, saladas e frutas no dia a dia delas, pois assim terão um organismo mais saudável.",4.5
"A obesidade é um problema que tem aumentado em todo o mundo, e atinge cada vez mais as crianças, que por sua vez,não possuem maturidade suficiente para perceber as graves consequências que uma alimentação a base de fast-food pode trazer para a sua saúde física e mental.
As grandes redes de lanches investem parte de seu capital em propagandas, que são encontradas nos meios de comunicação mais populares como a internet e a televisão. O objetivo desses comerciais é persuadir principalmente o público infantil a consumir o produto. Para isso,oferecem diversos brindes e criam personagens carismáticos que são muito bem aceitos pelas crianças.
A família, porém, é a maior culpada por esse crescente índice de obesidade infantil, pois além do fast-food ser uma opção cômoda para quem não dispõe de muito tempo, os pais tentam compensar a sua ausência, cedendo aos desejos dos filhos.
Esse péssimo hábito alimentar traz sérios problemas como o sedentarismo, a diabetes e a pressão alta, além de consequências à saúde mental como a baixa auto-estima, a depressão e o bullying que os mais jovens sofrem na escola.
É necessária a criação de uma lei, que proíba a exibição de propagandas de fast-food nos horários de maior audiência do público infantil. O mais importante, porém, é que as famílias mudem seus hábitos alimentares, procurando ingerir cada vez mais alimentos que façam bem à saúde,para que desde cedo as crianças aprendam a ter uma vida mais saudável, e a obesidade possa ser controlada.",5.5
"A obesidade infantil tem aumentado cada vez mais no Brasil. Estatísticas alarmantes, como a reportada pela Sociedade de Pediatria de São Paulo, que estima expressivos 15% de crianças brasileiras acima do peso recomendável, justificam a comoção dos órgãos públicos de saúde. Eles pretendem regulamentar propagandas de alimentos gordurosos e com altos teores de açúcar e sal, estabelecendo horários inadequados de vinculação e a obrigação de conter avisos sobre as consequências do consumo exacerbado.
Entretanto, questiona-se se tais medidas não tomam um caráter autoritário e uma posição na qual os pais deveriam estar. Afinal, a quem cabe essa responsabilidade?
É mais do que sabido que as crianças não têm controle sobre seus desejos, pois deles só enxergam o aspecto positivo, nunca o negativo. Sendo assim, torna-se viável diminuir a exposição dos atrativos e ressaltar os malefícios desses alimentos, que segundo Fábio Ancona Lopez, professor do Departamento de Pediatria da Universidade Federal de São Paulo (Unifesp), são muito gordurosos, pobres em fibras, vitaminas e minerais.
Porém, esconder a tentação não é tudo, até porque ainda há a necessidade de vigiar, aconselhar e, dependendo do caso, de proibir. E é justamente aí onde os pais entram, de modo que, por conhecerem as particularidades de seus filhos melhor do que ninguém, sabem o momento certo de dizer sim ou não. Portanto, o problema da obesidade infantil está sob a responsabilidade de dois papéis, um de informar e outro de coagir.",6.0
"A opinião pública foi sacudida com o evento lastimável ocorrido na universidade Uniban, sediada na cidade de São Bernardo do Campo. Nota-se que isso só aconteceu graças à combinação infeliz de uma atitude imprópria de uma aluna e a exagerada dose de má-educação de outros alunos que acabou gerando uma turba em um ambiente destinado a promover o ensino superior.
É comum ficarmos estarrecidos quando alguém comete um crime, no entanto, não paramos para analisar quais os motivos que levaram aquele ser a cometer tal atrocidade. Neste caso, mesmo não sendo um crime, temos que ter em mente que havia uma animosidade instalada entre a aluna e outros alunos. Assim, Geisy, sem medir as consequências, deixou-se levar pela vaidade e não observou que ambientes coletivos têm suas próprias regras e preceitos e que todos devemos obedecer.
Salienta-se que, mesmo tendo ela errado, não justifica a ação daqueles alunos que iniciaram aquelas cenas de pura intolerância. Esqueceram-se de que estão vivendo em comunidade e que temos que respeitar a integridade física e moral de todas as pessoas. Deixaram de lado o senso comum e suas atitudes foram mais nocivas e inapropriadas do que aquela cometida pela universitária.
que todos os envolvidos estão errados, pois foram levados pela futilidade e selvageria e esqueceram que a universidade é um local em que deve imperar a tolerância e o respeito mútuo, já que é um ambiente onde se reúnem ideias e opiniões divergentes que precisam ser discutidas nos bancos acadêmicos, a fim de que possam propiciar avanços e bem estar à sociedade.",7.5
"A opinião pública não séria mais manipulada pôr nem uma outra pessoas sejam eles-(a)políticos , comerciantes ó até mesmo Por por qualquer meio de comunicação.
Muitas vezes as pessoas esperam a verdade absolutas contradiçoes e divergências que geram incertezas. Quê portanto de esperarem pela verdade e não por razões de fatos tendo contradiçoês quê levanta a incerteza da verdade.
A sociedade não deve acreditar so em verdade ditas mais também pôr fatos mais claro e concretos.",0.0
"A ordem se estabelece por meio de limites. A polêmica causada pelo ""MMA"" (mistura de artes marciais, em inglês) é dividida em dois conceitos opinativos: se o considerado esporte é algo positivo para a sociedade ou o oposto. A questão principal geralmente se volta para um ponto em comum entre esses conceitos, que seria sobre os limites impostos para a violência apresentada nos ringues.
Estaríamos voltando ao estilo arcaico do tempo em que mortes eram mais do que permitidas em esportes se permitirmos que lutadores de ""MMA"" encontrem um desfecho fatal para suas lutas nos combates. E como a sociedade sempre procura se desenvolver, um arcaísmo como esse seria uma extrema hipocrisia descarada.
A política nos torneios de ""MMA"" deveria chegar a um acordo que, limitando a violência, se encontre dentro dos padrões considerados positivos pela maioria da população (principalmente o público), ou seja, um senso comum.",3.5
"A ortografia da Língua Portuguesa já está em fase de transição com a lei do Acordo Ortográfico entre os países lusófonos que entrou em vigor este ano. O Acordo prevê alterações morfossintáticas na ortografia em todos os países que tem a língua portuguesa como oficial, a fim de alcançar a unificação, entretanto essa medida causou polêmica entre os usuários do idioma.
Esta não foi a primeira reforma ortográfica assinada pelo Brasil, a ultima ocorreu em 1971. O Governo busca por meio da reforma ortográfica, unificar o idioma com os dos outros países a fim de conseguir status e presença política para a língua portuguesa, por exemplo, dinamizando o intercâmbio acadêmico entre estudantes lusófonos. Por outro lado, os ""cidadãos comuns"", falantes do idioma, questionam a forma onipotente que aconteceu a reforma, longe da discussão pública e democrática acerca do idioma, que pertence a todos.
Afinal, somos nós, ""cidadãos comuns"", que configuramos nosso idioma de acordo com nossas configurações socioculturais. As mudanças aleatórias e impostas, as mudanças que não são pensadas, desconfiguram a nossa identidade lingüística. Basta pegar um jornal da década de 60 que facilmente percebemos a discrepância entre a língua que falamos hoje e a de ontem. Essas reformas elitistas afetam a nossa história, nossos registros, chegará um momento que não seremos capazes de ler os romances de José de Alencar escritos na língua original, tamanha a diferença vocabular.
A língua enquanto viva, é vibrante e dinâmica, torna-se impossível alcançar uma suposta padronização através de uma reforma ortográfica. A boa ortografia é aquela democratizante, que se aproxima da língua de seus falantes e das variantes lingüísticas que compõem a cultura do seu povo, não aquela que se distancia da população através de códigos gramaticológicos ininteligíveis. A boa reforma é aquela que acontece de baixo para cima e nunca o inverso - que impõem uma verdade maniqueísta aos falantes da língua.
É fato que devemos estar abertos a mudanças, afinal, a língua é uma ciência e como toda ciência deve sempre estar em transformação. Segundo Heráclito de Éfeso: ""Tudo flui, nada persiste nem permanece o mesmo"". Toda mudança é dolorosa e lenta, ela é sempre vista com desconfiança, principalmente quando atinge um alicerce tão intimo como a língua materna. Mas, a mudança precisa ser orgânica, devemos desenvolver novas escritas que transgridem a regra, de forma natural, não automática, como ocorre com o Acordo Ortográfico. Ninguém me pediu autorização para mexerem na minha língua.
A ""ultima flor do Lácio, inculta e bela"" de Olavo Bilac agora será reformulada, cada vez mais (in)culta e menos bela. Portanto, o Acordo Ortográfico é mais um exemplo de poder outorgado, de anti-democracia, acima de tudo, representa o desrespeito ao cidadão, ao animal inteligível e pensante que é o ser humano e a sua capacidade universal de comunicar-se com o mundo.",6.0
"A paixão do brasileiro pelo futebol é um fato marcante , principalmente pelo fato de ser o maior ganhador de Copas do Mundo de seleções e, talvez por isso, ser considerada, no plano mundial, como a seleção que não pode faltar nesse torneio. Isso dá uma certa dignidade ao povo brasileiro. Mas essa paixão não deve ser confundida como patriotismo, pois o brasileiro não é patriota.  Nós, brasileiros, não temos o sentimento e não agimos como uma nação, pois temos interesses individuais, não cooptamos pelo coletivo, pelo bem comum. Os patriotas se unem para esse intento e, em consequência, formam uma nação. Pelo dinheiro que a União arrecada, não deveriam faltar hospitais, médicos e remédios; estradas, portos e aeroportos; moradia, saneamento básico e ruas asfaltadas; escolas, professores e acesso a todos; policiamento, viaturas e aparelhos para contenção; etc . Mas a maior parte do dinheiro é desviada para interesses individuais - como a construção do complexo olímpico no Rio de Janeiro que custou várias vezes mais que o previsto e muitas obras estão servindo para nada \- e enriquecimento próprio e de terceiros que tenham laços estreitos de amizade e/ou de negócios.  Tudo isso em larga escala em relação ao que ocorre em outros países. Em uma nação, onde há o patriotismo, o judiciário agiria com rigor e não como ocorre aqui: dar a esses ""amigos do povo"" os melhores benefícios possíveis pelo que a lei diz ou pela interpretação do julgador. Diante desse caos, certamente o patriota agiria com maior discernimento e tentaria moralizar os três poderes da república brasileira, visando uma sociedade justa e com melhor distribuição da renda produzida pela nação. Assim, a paixão pelo futebol apenas desperta o ego do brasileiro em tentar alcançar sua aspiração individual visualizada nesse esporte para que, vencendo seus concorrentes, ganhe a Copa e seja respeitado pelos outros povos e nações. Respeito que não há entre os próprios brasileiros.",6.0
"A palavra mentira aparentemente pode ser um termo simples e de pouca relevância para algumas pessoas, entretanto, para outras ela é muito mais complexa, ela é um modo de viver, de pensar e agir, infelizmente um ciclo vicioso. Bom, quem nunca mentiu? Ao ficarmos em silêncio diante desse questionamento já estaremos novamente escondendo a verdade.
Quando criança, a mentira é utilizada de forma pura e inocente, às vezes para impressionar nossos coleguinhas sobre algumas histórias, contamos algumas falsidades, mas ao atingirmos certa maturidade a mentira passa a ter outras utilidades como benefício, proveito ou mesmo para nos livrarmos de uma situação indesejada.
Na fase adulta com o decorrer do tempo, praticamente tudo se renova e a mentira não fica atrás ela também passa por um grande processo de transformação sendo assim, nossa parceira indispensável do dia-a-dia; um bom exemplo é quando infelizmente chegamos atrasados ao trabalho quase sempre ocultamos a verdade para que no final ocorra como planejamos.
Ao definirmos a mentira como sendo simplesmente um ato de necessidade ou brincadeira, estamos ao mesmo tempo nos limitando em saber qual é o seu real significado. De certa forma, a mentira é um dos recursos que utilizamos para viver em sociedade. Muitas vezes a dificuldade de encarar a verdade, pessoas ou temer certa exposição é o ambiente propício para que inventemos algo.
Infelizmente se a mentira chegar ao ponto do descontrole humano como um vício pode vir a se tornar um princípio caso de risco, formando uma pessoa conflituosa e logo tenderá a agravar-se ainda mais como uma doença, que necessita de atenção e de tratamento.",5.5
"A partir da segunda semana de junho, o povo brasileiro parece ter despertado da letargia em que havia mergulhado desde os anos 1990. Milhões de pessoas foram às ruas para protestar contra tudo que está aí. O que começou como uma simples reivindicação para baixar o preço das tarifas de ônibus acabou deixando clara a insatisfação popular com a corrupção, o uso indevido do dinheiro público, a péssima qualidade dos serviços prestados pelo governo à população.
As manifestações tiveram resultados imediatos. Assim como o povo, os políticos também deixaram de lado a letargia e, em pouco tempo, não só o aumento das tarifas dos transportes foi revogado, como também outros anseios populares foram atendidos: a rejeição da PEC 37, que tirava poder de investigação do ministério público , e a aprovação de lei que fará ser considerado ediondo o crime de corrupção.
Diante disso tudo, é o caso de se perguntar: será que o gigante, deitado eternamente em ""berço explêndido""  , acordou? Parece que sim, mas, por enquanto, não se pode ter certeza. Pode ser que tudo não passe de um espasmo, que as manifestações percam força com o passar do tempo, deixando os políticos novamente à vontade para cuidar apenas de seus próprios interesses. Espero que não, Deus nos ajude!
Para que o Brasil desperte de fato, a participação da população no processo democrático tem de ser constante. É importante se manifestar, seja nas ruas, seja nas redes sociais, sempre que for necessário. Aí sim, quem sabe, poderemos dizer definitivamente que o país acordou.",9.0
